IAID	SourceLevelId	CatalogueId	ParentIAID	Reference	Title	CoveringDates	Note	ClosureStatus	CoveringFromDate	CoveringToDate	Description
C14303	3	13155	C540	WO 95	<unittitle type="Title">War Office: First World War and Army of Occupation War Diaries</unittitle>	1914-1923			Open Document, Open Description		19140101		19231231		<scopecontent><head>Scope and Content</head><p>This series consists of war diaries for British and colonial units serving in theatres of operations between 1914 and 1922, including Russia, at home, and in the colonies, and British military missions, and Armies of Occupation between 1919 and 1922. No diaries for the campaign in South West Africa in 1914-1915 are included in this series because no British units participated; operations were conducted under the auspices of the South African armed forces.</p> <p>The diaries contain daily reports on operations, intelligence summaries and other pertinent material. The range of dates shown for individual items does not mean there is a document inside the file for each day between the two covering dates. </p> <p>Please note: Selected First World War war diaries have been scanned as part of TNA's ongoing initiative to digitise some of our most frequently ordered original documents. Digital copies can be <extref href=&#34http://www.nationalarchives.gov.uk/records/war-diaries-ww1.htm&#34>searched and downloaded</extref>.</p></scopecontent>
C78426	4	74286	C14303	Subseries 1 of WO 95	<unittitle type = "Title">PART I: FRANCE, BELGIUM AND GERMANY</unittitle>						
C138492	5	57939	C78426	Subsubseries 34 of Subseries 1 of WO 95	<unittitle type = "Title">1 CAVALRY DIVISION</unittitle>						
C4554247	6	5635430	C138492	WO 95/1096		1914 Aug. - Dec.			Open Document, Open Description		19140801		19141231		<scopecontent><p>Headquarters Branches and Services: General Staff</p></scopecontent>
C4554248	6	5635431	C138492	WO 95/1097		1915 Jan. - 1919 Sept.			Open Document, Open Description		19150101		19190930		<scopecontent><p>Headquarters Branches and Services: General Staff</p></scopecontent>
C4554249	6	5635432	C138492	WO 95/1098		1914 Aug. - 1915 Dec.			Open Document, Open Description		19140801		19151231		<scopecontent><p>Headquarters Branches and Services: Adjutant and Quarter-Master General</p></scopecontent>
C4554250	6	5635433	C138492	WO 95/1099		1916 Jan. - 1917 Dec.			Open Document, Open Description		19160101		19171231		<scopecontent><p>Headquarters Branches and Services: Adjutant and Quarter-Master General</p></scopecontent>
C4554251	6	5635434	C138492	WO 95/1100		1918 Jan. - 1919 Sept.			Open Document, Open Description		19180101		19190930		<scopecontent><p>Headquarters Branches and Services: Adjutant and Quarter-Master General</p></scopecontent>
C4554252	6	5635435	C138492	WO 95/1101				Open Document, Open Description				<scopecontent><p>Headquarters Branches and Services (Described at item level)</p></scopecontent>
C7351399	7	-2240423	C4554252	WO 95/1101/1		1914 Aug. - Oct.			Open Document, Open Description		19140801		19141031		<scopecontent><p>Commander Royal Artillery</p></scopecontent>
C7351400	7	-2240424	C4554252	WO 95/1101/2		1914 Aug. - 1919 Sept.			Open Document, Open Description		19140801		19190930		<scopecontent><p>Assistant Director Medical Services</p></scopecontent>
C4554253	6	5635436	C138492	WO 95/1102				Open Document, Open Description				<scopecontent><p>Headquarters Branches and Services (Described at item level)</p></scopecontent>
C7351402	7	-2240426	C4554253	WO 95/1102/1		1914 Aug. - 1919 Sept.			Open Document, Open Description		19140801		19190930		<scopecontent><p>Assistant Director Ordnance Services</p></scopecontent>
C7351403	7	-2240427	C4554253	WO 95/1102/2		1914 Aug. - 1919 Sept.			Open Document, Open Description		19140801		19190930		<scopecontent><p>Assistant Director Veterinary Services</p></scopecontent>
C4554254	6	5635437	C138492	WO 95/1103				Open Document, Open Description				<scopecontent><p>Divisional Troops (Described at item level)</p></scopecontent>
C7351405	7	-2240429	C4554254	WO 95/1103/1		1914 Aug. - 1919 Apr.			Open Document, Open Description		19140801		19190430		<scopecontent><p>7 Brigade Royal Horse Artillery and Ammunition Column</p></scopecontent>
C7351406	7	-2240430	C4554254	WO 95/1103/2		1914 Aug. - 1919 Aug.			Open Document, Open Description		19140801		19190831		<scopecontent><p>1 Field Squadron Royal Engineers</p></scopecontent>
C7351407	7	-2240431	C4554254	WO 95/1103/3		1914 Aug. - 1919 Aug.			Open Document, Open Description		19140801		19190831		<scopecontent><p>1 Signal Squadron Royal Engineers</p></scopecontent>
C4554255	6	5635438	C138492	WO 95/1104				Open Document, Open Description				<scopecontent><p>Divisional Troops (Described at item level)</p></scopecontent>
C7351409	7	-2240433	C4554255	WO 95/1104/1		1916 Mar. 1917 Oct.			Open Document, Open Description		19160301		19171031		<scopecontent><p>8 Light Armoured Battery</p></scopecontent>
C7351410	7	-2240434	C4554255	WO 95/1104/2		1917 Jan. - Oct.			Open Document, Open Description		19170101		19171031		<scopecontent><p>Cavalry Pioneer Battalion</p></scopecontent>
C7351411	7	-2240435	C4554255	WO 95/1104/3		1914 Aug. - 1919 Aug.			Open Document, Open Description		19140801		19190831		<scopecontent><p>1 Cavalry Field Ambulance</p></scopecontent>
C4554256	6	5635439	C138492	WO 95/1105				Open Document, Open Description				<scopecontent><p>Divisional Troops (Described at item level)</p></scopecontent>
C7351413	7	-2240437	C4554256	WO 95/1105/1		1914 Aug. - 1919 Sept.			Open Document, Open Description		19140801		19190930		<scopecontent><p>3 Cavalry Field Ambulance</p></scopecontent>
C7351414	7	-2240438	C4554256	WO 95/1105/2		1915 Apr. - 1919 May			Open Document, Open Description		19150401		19190531		<scopecontent><p>9 Cavalry Field Ambulance</p></scopecontent>
C7351415	7	-2240439	C4554256	WO 95/1105/3		1914 Dec. - 1917 May			Open Document, Open Description		19141201		19170531		<scopecontent><p>9 Sanitary Section</p></scopecontent>
C4554257	6	5635440	C138492	WO 95/1106				Open Document, Open Description				<scopecontent><p>Divisional Troops (Described at item level)</p></scopecontent>
C7351417	7	-2240441	C4554257	WO 95/1106/1		1914 Aug. - 1919 Sept.			Open Document, Open Description		19140801		19190930		<scopecontent><p>1 Mobile Veterinary Section</p></scopecontent>
C7351418	7	-2240442	C4554257	WO 95/1106/2		1914 Aug. - 1919 Aug.			Open Document, Open Description		19140801		19190831		<scopecontent><p>10 Mobile Veterinary Section</p></scopecontent>
C7351419	7	-2240443	C4554257	WO 95/1106/3		1915 Oct. 1919			Open Document, Open Description		19151001		19191231		<scopecontent><p>39 Mobile Veterinary Section</p></scopecontent>
C4554258	6	5635441	C138492	WO 95/1107				Open Document, Open Description				<scopecontent><p>Divisional Troops (Described at item level)</p></scopecontent>
C7351421	7	-2240445	C4554258	WO 95/1107/1		1914 Aug. - 1919 Sept.			Open Document, Open Description		19140801		19190930		<scopecontent><p>Supply Column (57 Company A.S.C.)</p></scopecontent>
C7351422	7	-2240446	C4554258	WO 95/1107/2		1915 Sept. 1919 Aug.			Open Document, Open Description		19150901		19190831		<scopecontent><p>1 Auxiliary Horse Transport Company (574 Company A.S.C.)</p></scopecontent>
C7351423	7	-2240447	C4554258	WO 95/1107/3		1914 Aug. - 1918 Feb.			Open Document, Open Description		19140801		19180228		<scopecontent><p>Ammunition Park (45 Company A.S.C.)</p></scopecontent>
C4554259	6	5635442	C138492	WO 95/1108				Open Document, Open Description				<scopecontent><p>1 Cavalry Brigade (Described at item level)</p></scopecontent>
C7351425	7	-2240449	C4554259	WO 95/1108/1		1914 Aug. - 1919 Mar.			Open Document, Open Description		19140801		19190331		<scopecontent><p>Headquarters</p></scopecontent>
C7351426	7	-2240450	C4554259	WO 95/1108/2		1914 Sept. - 1919 Feb.			Open Document, Open Description		19140901		19190228		<scopecontent><p>"I" Battery Royal Horse Artillery</p></scopecontent>
C7351427	7	-2240451	C4554259	WO 95/1108/3		1916 Feb. - 1919 Mar.			Open Document, Open Description		19160201		19190331		<scopecontent><p>1 Machine Gun Squadron</p></scopecontent>
C4554260	6	5635443	C138492	WO 95/1109		1914- 1922			Open Document, Open Description		19140101		19221231		<emph altrender="doctype">G</emph>1 CAVALRY DIVISION, 1 CAVALRY BRIGADE:  2 Dragoon Guards 1914 Aug - 1918 Dec/ 5 Dragoon Guards 1914 Aug - 1919 Apr/ 11 Hussars 1914 Aug - 1919 Feb.
C7351429	7	-2240453	C4554260	WO 95/1109/1		1914 Aug. - 1918 Dec.			Open Document, Open Description		19140801		19181231		<scopecontent><p>2 Dragoon Guards</p></scopecontent>
C7351430	7	-2240454	C4554260	WO 95/1109/2		1914 Aug. - 1919 Apr.			Open Document, Open Description		19140801		19190430		<scopecontent><p>5 Dragoon Guards</p></scopecontent>
C7351431	7	-2240455	C4554260	WO 95/1109/3		1914 Aug. - 1919 Feb.			Open Document, Open Description		19140801		19190228		<scopecontent><p>11 Hussars</p></scopecontent>
C4554261	6	5635444	C138492	WO 95/1110		1914 Aug. - 1919 Mar.			Open Document, Open Description		19140801		19190331		<scopecontent><p>2 Cavalry Brigade: Headquarters</p></scopecontent>
C4554262	6	5635445	C138492	WO 95/1111				Open Document, Open Description				<scopecontent><p>2 Cavalry Brigade (Described at item level)</p></scopecontent>
C7351433	7	-2240457	C4554262	WO 95/1111/1		1916 Feb. - 1919 Mar.			Open Document, Open Description		19160201		19190331		<scopecontent><p>2 Machine Gun Squadron</p></scopecontent>
C7351434	7	-2240458	C4554262	WO 95/1111/2		1914 Sept. 1919 Mar.			Open Document, Open Description		19140901		19190331		<scopecontent><p>`H' Battery Royal Horse Artillery</p></scopecontent>
C7351435	7	-2240459	C4554262	WO 95/1111/3		1914 Aug. - Oct.			Open Document, Open Description		19140801		19141031		<scopecontent><p>`L' Battery Royal Horse Artillery</p></scopecontent>
C7351436	7	-2240460	C4554262	WO 95/1111/4		1917 Jan. - Mar.			Open Document, Open Description		19170101		19170331		<scopecontent><p>Brigade Pioneer Battalion</p></scopecontent>
C4554263	6	5635446	C138492	WO 95/1112		1914- 1922			Open Document, Open Description		19140101		19221231		<emph altrender="doctype">G</emph>2 CAVALRY BRIGADE: 4 Dragoon Guards 1914 Aug - 1919 Mar.
C4554264	6	5635447	C138492	WO 95/1113				Open Document, Open Description				<scopecontent><p>2 Cavalry Brigade (Described at item level)</p></scopecontent>
C7351438	7	-2240462	C4554264	WO 95/1113/1		1914 Aug. - 1919 Mar.			Open Document, Open Description		19140801		19190331		<scopecontent><p>18 (Queen Mary's Own) Hussars</p></scopecontent>
C7351439	7	-2240463	C4554264	WO 95/1113/2		1914 Aug. - 1919 Mar.			Open Document, Open Description		19140801		19190331		<scopecontent><p>9 (Queen's Royal) Lancers</p></scopecontent>
C4554265	6	5635448	C138492	WO 95/1114				Open Document, Open Description				<scopecontent><p>9 Cavalry Brigade (Described at item level)</p></scopecontent>
C7351441	7	-2240465	C4554265	WO 95/1114/1		1915 Apr. - 1919 Mar.			Open Document, Open Description		19150401		19190331		<scopecontent><p>Headquarters</p></scopecontent>
C7351442	7	-2240466	C4554265	WO 95/1114/2		1915 Apr. - 1919 Mar.			Open Document, Open Description		19150401		19190331		<scopecontent><p>15 (King's) Hussars</p></scopecontent>
C4554266	6	5635449	C138492	WO 95/1115				Open Document, Open Description				<scopecontent><p>9 Cavalry Brigade (Described at item level)</p></scopecontent>
C7351444	7	-2240468	C4554266	WO 95/1115/1		1918 Mar. - 1919 Feb.			Open Document, Open Description		19180301		19190228		<scopecontent><p>8 (King's Royal Irish) Hussars</p></scopecontent>
C7351445	7	-2240469	C4554266	WO 95/1115/2		1915 Apr. - 1919 Mar.			Open Document, Open Description		19150401		19190331		<scopecontent><p>19 Hussars</p></scopecontent>
C4554267	6	5635450	C138492	WO 95/1116				Open Document, Open Description				<scopecontent><p>9 Cavalry Brigade (Described at item level)</p></scopecontent>
C7351447	7	-2240471	C4554267	WO 95/1116/1		1915 June - 1918 Feb.			Open Document, Open Description		19150601		19180228		<scopecontent><p>1 Bedfordshire Yeomanry</p></scopecontent>
C7351448	7	-2240472	C4554267	WO 95/1116/2		1914 Oct. - 1916 Oct.			Open Document, Open Description		19141001		19161031		<scopecontent><p>1/1 Warwickshire Battery Royal Horse Artillery</p></scopecontent>
C7351449	7	-2240473	C4554267	WO 95/1116/3		1916 Dec. - 1919 Apr.			Open Document, Open Description		19161201		19190430		<scopecontent><p>`Y' Battery Royal Horse Artillery</p></scopecontent>
C7351450	7	-2240474	C4554267	WO 95/1116/4		1916 May - 1919 Mar.			Open Document, Open Description		19160501		19190331		<scopecontent><p>9 Machine Gun Squadron</p></scopecontent>
C7351451	7	-2240475	C4554267	WO 95/1116/5		1917 May - July			Open Document, Open Description		19170501		19170731		<scopecontent><p>9 Cavalry Pioneer Battalion</p></scopecontent>
C138493	5	57940	C78426	Subsubseries 35 of Subseries 1 of WO 95	<unittitle type = "Title">2 CAVALRY DIVISION</unittitle>						
C4554268	6	5635451	C138493	WO 95/1117		1914 Sept.- 1915 Dec.			Open Document, Open Description		19140901		19151231		<scopecontent><p>Headquarters Branches and Services: General Staff</p></scopecontent>
C4554269	6	5635452	C138493	WO 95/1118		1916 Jan.- 1919 Apr.			Open Document, Open Description		19160101		19190430		<scopecontent><p>Headquarters Branches and Services: General Staff</p></scopecontent>
C4554270	6	5635453	C138493	WO 95/1119		1914 Dec.- 1916 Dec.			Open Document, Open Description		19141201		19161231		<scopecontent><p>Headquarters Branches and Services: Adjutant and Quarter-Master General</p></scopecontent>
